,Parent,Code,Accounts for New T&Q,Account_Name,Account Code,State,Zip_Code,Territory,Cluster,Sub-Region,Named_Account,test,Named-Account Override,Region,City,Fortune_Number,Fortune,Industry,Employees,PYSales,Annual_Revenue_(M),Wallet_Share,Sub-Territory,Segment,New Industry,New Segment,Revenue Band
ImClone Systems,Total Accounts,7348,true,ImClone Systems,7348,NJ,08817,NY,New York Cluster #1,New York,false,false,false,USA,Bridgewater,0,false,Pharmaceuticals,232,127122,134.5,0.1,North,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
IMC Global,Total Accounts,7347,true,IMC Global,7347,VA,20191,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Reston,0,false,IT Services,2566,162665,36.48,0.82,West,Mid Market,Technology,Mid Market,$0 - $50M
Imation Nexsan Solutions,Total Accounts,7346,true,Imation Nexsan Solutions,7346,CA,91320,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Thousand Oaks,0,false,IT Services,3386,43835,35.4,0.04,North,Mid Market,Technology,Mid Market,$0 - $50M
Imation,Total Accounts,7345,true,Imation,7345,MN,55128,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Oakdale,0,false,Manufacturing - Non-Durables,4161,41424,860.8,0.07,North,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
Imaging Business Machines,Total Accounts,7344,true,Imaging Business Machines,7344,AL,35210,AL,Southeast Cluster #1,Southeast,false,false,false,USA,Birmingham,0,false,Manufacturing - Durables,1352,111054,43.5,0.36,East,Mid Market,Manufacturing,Mid Market,$0 - $50M
Imagine Print Solutions,Total Accounts,7343,true,Imagine Print Solutions,7343,MN,55379,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Minneapolis,0,false,Services,1458,103475,172,0.46,North,Enterprise,Services,Enterprise,"$100 - $1,000M"
ILPEA Industries,Total Accounts,7342,true,ILPEA Industries,7342,IN,47170,IN,Midwest Cluster #1,Midwest,false,false,false,USA,Scottsburg,0,false,Manufacturing - Durables,3,125744,15,0.84,North,Mid Market,Manufacturing,Mid Market,$0 - $50M
Illumina,Total Accounts,7341,true,Illumina,7341,CA,92121,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Diego,0,false,Medical Devices,239,138304,1420,0.48,South,Mid Market,Healthcare,Mid Market,"$1,000 - $5,000M"
Illinois Valley Community Hospital,Total Accounts,7340,true,Illinois Valley Community Hospital,7340,IL,61354,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Peru,0,false,Hospitals / Health Care,4750,259400,53.5,0.74,South,Mid Market,Healthcare,Mid Market,$50 - $100M
Illinois Tool Works,Total Accounts,7339,true,Illinois Tool Works,7339,IL,60026,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Glenview,171,true,Manufacturing - Durables,4318,296325,16904,0.52,West,Key Accounts,Manufacturing,Enterprise,"$15,000"
Illinois State University,Total Accounts,7338,true,Illinois State University,7338,IL,61790,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Normal,0,false,Higher Education,3928,91500,269,0.73,South,Enterprise,Education,Enterprise,"$100 - $1,000M"
Illinois Institute Of Technology,Total Accounts,7337,true,Illinois Institute Of Technology,7337,IL,60616,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Higher Education,3134,166107,249.7,0.97,East,Enterprise,Education,Enterprise,"$100 - $1,000M"
Illinois College,Total Accounts,7336,true,Illinois College,7336,IL,62650,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Jacksonville,0,false,Higher Education,3212,232113,34.95,0.79,South,Mid Market,Education,Mid Market,$0 - $50M
Ilitch Holdings,Total Accounts,7335,true,Ilitch Holdings,7335,MI,48201,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Detroit,0,false,Restaurants,4526,122738,429.2,0.6,West,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
ILC Dover,Total Accounts,7334,true,ILC Dover,7334,DE,19946,DE,Mid-Atlantic Cluster #1,Mid-Atlantic,false,false,false,USA,Frederica,0,false,Manufacturing - Durables,3972,96800,41,0.65,West,Mid Market,Manufacturing,Mid Market,$0 - $50M
Il Fornaio Corporation,Total Accounts,7333,true,Il Fornaio Corporation,7333,CA,94925,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Corte Madera,0,false,Restaurants,1303,87594,500,0.59,North,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
IKEA,Total Accounts,7332,true,IKEA,7332,DE,19428,DE,Mid-Atlantic Cluster #1,Mid-Atlantic,false,false,false,USA,Conshohocken,0,false,Retail,1830,74081,27500,0.06,East,Key Accounts,Consumer,Enterprise,"$15,000"
Ikaria,Total Accounts,7331,true,Ikaria,7331,NJ,08817,NY,New York Cluster #1,New York,false,false,false,USA,Clinton,0,false,Pharmaceuticals,250,134527,29.9,0.83,West,Mid Market,Healthcare,Mid Market,$0 - $50M
IIF Data Solutions,Total Accounts,7330,true,IIF Data Solutions,7330,VA,20151,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Chantilly,0,false,IT Services,3342,22356,33.6,0.03,West,Mid Market,Technology,Mid Market,$0 - $50M
II-VI Incorporated,Total Accounts,7329,true,II-VI Incorporated,7329,PA,16056,PA,NE Cluster #1,Northeast,false,false,false,USA,Saxonburg,0,false,Manufacturing - Durables,446,163464,558.4,0.46,East,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
IHS Inc.,Total Accounts,7328,true,IHS Inc.,7328,CO,80112,CO,Plains Cluster #1,Plains,false,false,false,USA,Englewood,0,false,Professional Services,4669,291065,1840,0.83,North,Enterprise,Services,Enterprise,"$1,000 - $5,000M"
IHS Automotive,Total Accounts,7327,true,IHS Automotive,7327,MI,48033,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Southfield,0,false,Logistics / Transportation,2650,95009,359.1,0.26,South,Enterprise,Services,Enterprise,"$100 - $1,000M"
iHerb,Total Accounts,7326,true,iHerb,7326,CA,92551,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Moreno Valley,0,false,Retail,3961,22502,7.9,0.22,North,Mid Market,Consumer,Mid Market,$0 - $50M
IGT,Total Accounts,7325,true,IGT,7325,NV,89521,NV,Southwest Cluster #1,Southwest,false,false,false,USA,Reno,874,true,Consumer Products,2183,87226,2342,0.65,North,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
"IgnitionOne, Inc.",Total Accounts,7324,true,"IgnitionOne, Inc.",7324,GA,30309,GA,Southeast Cluster #1,Southeast,false,false,false,USA,Atlanta,0,false,Professional Services,4520,286741,22.1,0.95,North,Mid Market,Services,Mid Market,$0 - $50M
Ignite Restaurant Group,Total Accounts,7323,true,Ignite Restaurant Group,7323,TX,77063,TX West,Texas Cluster #1,Texas,false,false,false,USA,Houston,0,false,Restaurants,1281,145349,465.1,0.91,South,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
Igloo Products,Total Accounts,7322,true,Igloo Products,7322,TX,77494,TX West,Texas Cluster #1,Texas,false,false,false,USA,Katy,0,false,Consumer Products,3581,88750,108.9,0.54,East,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
IGA,Total Accounts,7321,true,IGA,7321,IL,60631,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Retail,4738,225099,11.6,0.75,South,Mid Market,Consumer,Mid Market,$0 - $50M
iFreedom Direct,Total Accounts,7320,true,iFreedom Direct,7320,UT,84109,UT,Plains Cluster #2,Plains,false,false,false,USA,Salt Lake City,0,false,Financial Services,943,96724,50.09,0.53,North,Mid Market,Finance,Mid Market,$50 - $100M
IEEE,Total Accounts,7319,false,IEEE,7319,NY,10016,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Non-Profit,4493,208217,500,0.75,West,Enterprise,,Enterprise,"$100 - $1,000M"
IDT Corporation,Total Accounts,7318,true,IDT Corporation,7318,NY,07101,NY,New York Cluster #1,New York,false,false,false,USA,Newark,0,false,Telecom,167,97241,1620,0.11,South,Mid Market,Telecom,Mid Market,"$1,000 - $5,000M"
iDirect,Total Accounts,7317,true,iDirect,7317,VA,20171,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Herndon,0,false,Telecom,2209,67795,81.9,0.25,South,Mid Market,Telecom,Mid Market,$50 - $100M
IDEXX Laboratories,Total Accounts,7316,true,IDEXX Laboratories,7316,ME,04092,ME,NE Cluster #1,Northeast,false,false,false,USA,Westbrook,0,false,Manufacturing - Non-Durables,4373,47342,1380,0.04,South,Mid Market,Manufacturing,Mid Market,"$1,000 - $5,000M"
IDEX,Total Accounts,7315,true,IDEX,7315,IL,60045,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Lake Forest,964,true,Services,2340,45691,2024,0.2,North,Mid Market,Services,Mid Market,"$1,000 - $5,000M"
Idealease,Total Accounts,7314,true,Idealease,7314,IL,60010,IL,Midwest Cluster #1,Midwest,false,false,false,USA,North Barrington,0,false,Services,2179,11243,5.8,0.19,West,Mid Market,Services,Mid Market,$0 - $50M
Idahoan Foods,Total Accounts,7313,true,Idahoan Foods,7313,ID,83431,ID,Northwest Cluster #2,Northwest,false,false,false,USA,Lewisville,0,false,Manufacturing - Non-Durables,3644,41522,53.7,0.96,East,Mid Market,Manufacturing,Mid Market,$50 - $100M
Idaho State University,Total Accounts,7312,true,Idaho State University,7312,ID,83209,ID,Northwest Cluster #2,Northwest,false,false,false,USA,Pocatello,0,false,Higher Education,4119,94684,129.1,0.08,North,Mid Market,Education,Mid Market,"$100 - $1,000M"
Idaho Power,Total Accounts,7311,true,Idaho Power,7311,ID,83702,ID,Northwest Cluster #2,Northwest,false,false,false,USA,Boise,0,false,Energy / Utilities,2092,143052,1077,0.7,South,Enterprise,Energy,Enterprise,"$1,000 - $5,000M"
Idaho National Laboratory,Total Accounts,7310,false,Idaho National Laboratory,7310,ID,83401,ID,Northwest Cluster #2,Northwest,false,false,false,USA,Idaho Falls,0,false,Federal,510,71107,1000,0.71,South,Enterprise,,Enterprise,"$1,000 - $5,000M"
Idaho Elks Rehabilitation Hospital,Total Accounts,7309,true,Idaho Elks Rehabilitation Hospital,7309,ID,83701,ID,Northwest Cluster #2,Northwest,false,false,false,USA,Boise,0,false,Hospitals / Health Care,4955,54648,29.35,0.22,West,Key Accounts,Healthcare,Enterprise,$0 - $50M
ID Watchdog,Total Accounts,7308,true,ID Watchdog,7308,CO,80202,CO,Plains Cluster #1,Plains,false,false,false,USA,Denver,0,false,Services,4680,12631,1.8,0.13,North,Mid Market,Services,Mid Market,$0 - $50M
ICW Group,Total Accounts,7307,true,ICW Group,7307,CA,92130,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Diego,0,false,Insurance,1173,11835,500,0.01,North,Mid Market,Insurance,Mid Market,"$100 - $1,000M"
iCrossing,Total Accounts,7306,true,iCrossing,7306,NY,10019,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Professional Services,1037,49709,38.1,0.63,West,Mid Market,Services,Mid Market,$0 - $50M
iCore Networks,Total Accounts,7305,true,iCore Networks,7305,VA,22102,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,McLean,0,false,Telecom,876,19462,9.6,0.37,South,Mid Market,Telecom,Mid Market,$0 - $50M
ICONMA,Total Accounts,7304,true,ICONMA,7304,MI,48083,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Troy,0,false,IT Services,1602,145685,88.7,0.64,North,Mid Market,Technology,Mid Market,$50 - $100M
Iconix Brand Group,Total Accounts,7303,true,Iconix Brand Group,7303,NY,10018,NY,New York Cluster #1,New York,false,false,false,USA,New York,0,false,Consumer Products,1163,0,432.6,0,East,Enterprise,Consumer,Enterprise,"$100 - $1,000M"
ICON plc,Total Accounts,7302,true,ICON plc,7302,DE,19454,DE,Mid-Atlantic Cluster #1,Mid-Atlantic,false,false,false,USA,North Wales,0,false,Services,589,151236,1500,0.44,East,Enterprise,Services,Enterprise,"$1,000 - $5,000M"
Icon Identity Solutions,Total Accounts,7301,true,Icon Identity Solutions,7301,IL,60007,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Elk Grove Village,0,false,Services,555,84748,112.4,0.2,North,Mid Market,Services,Mid Market,"$100 - $1,000M"
ICON Health & Fitness,Total Accounts,7300,true,ICON Health & Fitness,7300,UT,84321,UT,Plains Cluster #2,Plains,false,false,false,USA,Logan,0,false,Manufacturing - Durables,98,128458,423.7,0.88,West,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
ICMA-RC,Total Accounts,7299,true,ICMA-RC,7299,VA,20002,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Washington,0,false,Services,4646,157789,165.9,0.61,North,Enterprise,Services,Enterprise,"$100 - $1,000M"
iCIMS,Total Accounts,7298,true,iCIMS,7298,NY,07747,NY,New York Cluster #1,New York,false,false,false,USA,Matawan,0,false,IT Services,4182,319883,37,0.82,East,Mid Market,Technology,Mid Market,$0 - $50M
Icicle Seafoods,Total Accounts,7297,true,Icicle Seafoods,7297,WA,98199,WA,Northwest Cluster #2,Northwest,false,false,false,USA,Seattle,0,false,Consumer Products,3073,6454,450,0.98,East,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
ICF,Total Accounts,7296,true,ICF,7296,VA,22031,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Fairfax,0,false,Professional Services,2868,69121,326.8,0.22,West,Mid Market,Services,Mid Market,"$100 - $1,000M"
Ice Miller,Total Accounts,7295,true,Ice Miller,7295,IN,46282,IN,Midwest Cluster #1,Midwest,false,false,false,USA,Indianapolis,0,false,Legal Services,4183,69972,48,0.33,East,Mid Market,Services,Mid Market,$0 - $50M
ICAP,Total Accounts,7294,true,ICAP,7294,NY,07097,NY,New York Cluster #1,New York,false,false,false,USA,Jersey City,0,false,Financial Services,1340,103285,494,0.32,South,Enterprise,Finance,Enterprise,"$100 - $1,000M"
ICANN,Total Accounts,7293,true,ICANN,7293,CA,90094,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Los Angeles,0,false,IT Services,4582,119670,72.02,0.14,South,Mid Market,Technology,Mid Market,$50 - $100M
Icahn Enterprises,Total Accounts,7292,true,Icahn Enterprises,7292,NY,10153,NY,New York Cluster #1,New York,false,false,false,USA,New York,143,true,Services,4428,192290,20682,0.94,South,Key Accounts,Services,Enterprise,"$15,000"
IBM - Sterling Commerce,Total Accounts,7291,true,IBM - Sterling Commerce,7291,OH,43016,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Dublin,0,false,IT Services,77,0,272.8,0,South,Mid Market,Technology,Mid Market,"$100 - $1,000M"
IBM,Total Accounts,7290,true,IBM,7290,NY,10504,NY,New York Cluster #1,New York,false,true,false,USA,Armonk,23,true,IT Services,2186,329859,99750,0.43,West,Key Accounts,Technology,Enterprise,"$15,000"
IBERIABANK,Total Accounts,7289,true,IBERIABANK,7289,LA,70501,LA,Southeast Cluster #2,Southeast,false,false,false,USA,Lafayette,0,false,Banking,3883,836272,552.2,0.86,West,Enterprise,Banking,Enterprise,"$100 - $1,000M"
Iberia Medical Center,Total Accounts,7288,true,Iberia Medical Center,7288,LA,70560,LA,Southeast Cluster #2,Southeast,false,false,false,USA,New Iberia,0,false,Hospitals / Health Care,2601,67068,606.2,0.06,South,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Iberdrola USA,Total Accounts,7287,true,Iberdrola USA,7287,ME,04260,ME,NE Cluster #1,Northeast,false,true,false,USA,New Gloucester,0,false,Energy / Utilities,866,182354,4362,0.39,South,Enterprise,Energy,Enterprise,"$1,000 - $5,000M"
iBasis,Total Accounts,7286,true,iBasis,7286,MA,01803,MA,NE Cluster #3,Northeast,false,false,false,USA,Burlington,0,false,Telecom,4328,554514,1320,0.75,East,Enterprise,Telecom,Enterprise,"$1,000 - $5,000M"
iBAHN,Total Accounts,7285,true,iBAHN,7285,UT,84121,UT,Plains Cluster #2,Plains,false,false,false,USA,Salt Lake City,0,false,IT Services,2166,101845,29.4,0.55,East,Mid Market,Technology,Mid Market,$0 - $50M
IASIS Healthcare,Total Accounts,7284,true,IASIS Healthcare,7284,TN,37067,TN,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Franklin,736,true,Hospitals / Health Care,846,117005,2950,0.95,South,Enterprise,Healthcare,Enterprise,"$1,000 - $5,000M"
IAP Worldwide,Total Accounts,7283,true,IAP Worldwide,7283,FL,32920,FL,Southeast Cluster #1,Southeast,false,false,false,USA,Cape Canaveral,0,false,Professional Services,920,27178,1200,0.03,West,Mid Market,Services,Mid Market,"$1,000 - $5,000M"
iAdvantage Software,Total Accounts,7282,true,iAdvantage Software,7282,NC,27511,NC,Atlantic Coast Cluster #2,Atlantic Coast,false,false,false,USA,Cary,0,false,IT Services,2017,47561,3,0.07,West,Mid Market,Technology,Mid Market,$0 - $50M
I.C. System,Total Accounts,7281,true,I.C. System,7281,MN,55127,MN,Midwest Cluster #1,Midwest,false,false,false,USA,St. Paul,0,false,Services,4364,99360,79.5,0.16,West,Mid Market,Services,Mid Market,$50 - $100M
I-Behavior,Total Accounts,7280,true,I-Behavior,7280,CO,80027,CO,Plains Cluster #1,Plains,false,false,false,USA,Louisville,0,false,IT Services,436,199453,10.5,0.85,South,Mid Market,Technology,Mid Market,$0 - $50M
Hyundai Information Service North America,Total Accounts,7279,true,Hyundai Information Service North America,7279,CA,92612,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Irvine,0,false,IT Services,3772,416287,632.2,0.37,East,Enterprise,Technology,Enterprise,"$100 - $1,000M"
Hytrol Conveyor Company,Total Accounts,7278,true,Hytrol Conveyor Company,7278,AR,72401,AR,Southeast Cluster #2,Southeast,false,false,false,USA,Jonesboro,0,false,Manufacturing - Durables,4474,262275,58.7,0.93,East,Mid Market,Manufacturing,Mid Market,$50 - $100M
Hyster-Yale Materials Handling,Total Accounts,7277,true,Hyster-Yale Materials Handling,7277,OH,44124,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Cleveland,794,true,Consumer Products,3544,198500,2666,0.19,North,Mid Market,Consumer,Mid Market,"$1,000 - $5,000M"
HyPro,Total Accounts,7276,true,HyPro,7276,WI,53185,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Waterford,0,false,Manufacturing - Durables,1321,179462,37.5,0.57,East,Mid Market,Manufacturing,Mid Market,$0 - $50M
Hypertherm,Total Accounts,7275,true,Hypertherm,7275,NH,03756,NH,NE Cluster #2,Northeast,false,false,false,USA,Hanover,0,false,Manufacturing - Durables,2734,26886,108.4,0.04,East,Mid Market,Manufacturing,Mid Market,"$100 - $1,000M"
Hylant Group,Total Accounts,7274,true,Hylant Group,7274,OH,43604,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Toledo,0,false,Insurance,2948,223155,104.4,0.58,North,Enterprise,Insurance,Enterprise,"$100 - $1,000M"
Hyland Software,Total Accounts,7273,true,Hyland Software,7273,OH,44145,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Westlake,0,false,IT Services,3484,82059,109.3,0.75,East,Enterprise,Technology,Enterprise,"$100 - $1,000M"
HydroGeoLogic,Total Accounts,7272,true,HydroGeoLogic,7272,VA,20190,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Reston,0,false,Services,1948,11324,24,0.01,South,Mid Market,Services,Mid Market,$0 - $50M
Hydrite Chemical,Total Accounts,7271,true,Hydrite Chemical,7271,WI,53045,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Brookfield,0,false,Chemicals,1608,95821,422.5,0.76,North,Enterprise,Energy,Enterprise,"$100 - $1,000M"
Hydraforce,Total Accounts,7270,true,Hydraforce,7270,IL,60069,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Lincolnshire,0,false,Manufacturing - Durables,4215,66854,44.2,0.95,North,Mid Market,Manufacturing,Mid Market,$0 - $50M
Hyde Group,Total Accounts,7269,true,Hyde Group,7269,MA,01550,MA,NE Cluster #3,Northeast,false,false,false,USA,Southbridge,0,false,Retail,3189,83707,40.8,0.24,North,Mid Market,Consumer,Mid Market,$0 - $50M
Hybris Corporation,Total Accounts,7268,true,Hybris Corporation,7268,IL,60606,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,IT Services,3420,162567,114,1,West,Enterprise,Technology,Enterprise,"$100 - $1,000M"
Hyatt Regency Century Plaza,Total Accounts,7267,true,Hyatt Regency Century Plaza,7267,CA,90067,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Los Angeles,0,false,Leisure,3356,89513,22.3,0.85,North,Mid Market,Consumer,Mid Market,$0 - $50M
Hyatt Hotels Corporation,Total Accounts,7266,true,Hyatt Hotels Corporation,7266,IL,60606,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,584,true,Leisure,1829,188101,4184,0.74,North,Enterprise,Consumer,Enterprise,"$1,000 - $5,000M"
Hy-Vee,Total Accounts,7265,true,Hy-Vee,7265,IA,50266,IA,Plains Cluster #2,Plains,false,false,false,USA,West Des Moines,0,false,Retail,2027,113533,7682,0.21,North,Mid Market,Consumer,Mid Market,"$5,000 - $15,000M"
HVHC,Total Accounts,7264,true,HVHC,7264,PA,17011,PA,NE Cluster #1,Northeast,false,false,false,USA,Camp Hill,0,false,Health Insurance,1229,92054,376.8,0.14,North,Mid Market,Insurance,Mid Market,"$100 - $1,000M"
Huttig Building Products,Total Accounts,7263,true,Huttig Building Products,7263,MO,63141,MO,Plains Cluster #1,Plains,false,false,false,USA,St. Louis,0,false,Retail,4812,1034771,520.5,0.87,North,Key Accounts,Consumer,Enterprise,"$100 - $1,000M"
Hutchinson Technology,Total Accounts,7262,true,Hutchinson Technology,7262,MN,55350,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Hutchinson,0,false,IT Services,2310,103444,248.6,0.48,South,Enterprise,Technology,Enterprise,"$100 - $1,000M"
Hutchinson Industries,Total Accounts,7261,true,Hutchinson Industries,7261,NJ,08753,NJ,New York Cluster #2,New York,false,false,false,USA,Trenton,0,false,Manufacturing - Durables,2462,95281,40.9,0.64,North,Mid Market,Manufacturing,Mid Market,$0 - $50M
Hutchinson Clinic,Total Accounts,7260,true,Hutchinson Clinic,7260,KS,67502,KS,Plains Cluster #2,Plains,false,false,false,USA,Hutchinson,0,false,Hospitals / Health Care,3583,228510,118.3,0.81,West,Enterprise,Healthcare,Enterprise,"$100 - $1,000M"
Hutchinson Area Healthcare,Total Accounts,7259,true,Hutchinson Area Healthcare,7259,MN,55350,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Hutchinson,0,false,Hospitals / Health Care,4700,115165,31.4,0.98,East,Mid Market,Healthcare,Mid Market,$0 - $50M
Hutcheson Medical Center,Total Accounts,7258,true,Hutcheson Medical Center,7258,TN,30742,TN,Rust Belt Cluster #1,Rust Belt,false,false,false,USA,Fort Oglethorpe,0,false,Hospitals / Health Care,393,72328,123,0.06,East,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Hutchens Industries,Total Accounts,7257,true,Hutchens Industries,7257,MO,65802,MO,Plains Cluster #1,Plains,false,false,false,USA,Springfield,0,false,Manufacturing - Durables,2718,86648,70,0.24,South,Mid Market,Manufacturing,Mid Market,$50 - $100M
Husson University,Total Accounts,7256,true,Husson University,7256,ME,04401,ME,NE Cluster #1,Northeast,false,false,false,USA,Bangor,0,false,Higher Education,2704,73459,50.87,0.35,South,Mid Market,Education,Mid Market,$50 - $100M
Hussey Copper,Total Accounts,7255,true,Hussey Copper,7255,PA,15056,PA,NE Cluster #1,Northeast,false,false,false,USA,Leetsdale,0,false,Manufacturing - Durables,834,173163,91.2,0.9,East,Mid Market,Manufacturing,Mid Market,$50 - $100M
Husqvarna USA,Total Accounts,7254,true,Husqvarna USA,7254,NC,28269,NC,Atlantic Coast Cluster #2,Atlantic Coast,false,false,false,USA,Charlotte,0,false,Manufacturing - Durables,1426,143607,4500,0.95,East,Enterprise,Manufacturing,Enterprise,"$1,000 - $5,000M"
Husco International,Total Accounts,7253,true,Husco International,7253,WI,53188,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Waukesha,0,false,Manufacturing - Durables,1406,75116,300,0.48,North,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Husch Blackwell,Total Accounts,7252,true,Husch Blackwell,7252,MO,64112,MO,Plains Cluster #1,Plains,false,false,false,USA,Kansas City,0,false,Legal Services,2796,174389,289,0.84,East,Enterprise,Services,Enterprise,"$100 - $1,000M"
Huron Consulting,Total Accounts,7251,true,Huron Consulting,7251,IL,60607,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Chicago,0,false,Professional Services,220,83579,681.7,0.08,South,Mid Market,Services,Mid Market,"$100 - $1,000M"
Huron Casting,Total Accounts,7250,true,Huron Casting,7250,MI,48755,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Pigeon,0,false,Manufacturing - Durables,3034,77227,27.7,0.55,North,Mid Market,Manufacturing,Mid Market,$0 - $50M
Hurley Medical Center,Total Accounts,7249,true,Hurley Medical Center,7249,MI,48503,MI,Rust Belt Cluster #2,Rust Belt,false,false,false,USA,Flint,0,false,Hospitals / Health Care,2967,81826,350,0.16,North,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Hurco Companies,Total Accounts,7248,true,Hurco Companies,7248,IN,46268,IN,Midwest Cluster #1,Midwest,false,false,false,USA,Indianapolis,0,false,Manufacturing - Durables,1018,86309,203.1,0.44,East,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Huntsville Hospital,Total Accounts,7247,true,Huntsville Hospital,7247,AL,35801,AL,Southeast Cluster #1,Southeast,false,false,false,USA,Huntsville,0,false,Hospitals / Health Care,91,8183,500,0.02,North,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Huntsman International,Total Accounts,7246,true,Huntsman International,7246,TX,77380,TX West,Texas Cluster #1,Texas,false,false,false,USA,The Woodlands,253,true,Chemicals,4275,206171,11079,0.83,East,Enterprise,Energy,Enterprise,"$5,000 - $15,000M"
Hunton & Williams,Total Accounts,7245,true,Hunton & Williams,7245,VA,23219,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Richmond,0,false,Legal Services,1637,188886,653.5,0.31,East,Enterprise,Services,Enterprise,"$100 - $1,000M"
"Huntington Hospital, CA",Total Accounts,7244,true,"Huntington Hospital, CA",7244,CA,91105,CA,Southwest Cluster #2,Southwest,false,false,false,USA,Pasadena,0,false,Hospitals / Health Care,3600,42154,419.2,0.35,South,Mid Market,Healthcare,Mid Market,"$100 - $1,000M"
Huntington Bank,Total Accounts,7243,true,Huntington Bank,7243,OH,43287,OH,Midwest Cluster #2,Midwest,false,false,false,USA,Columbus,756,true,Banking,4825,279449,2859,0.75,East,Enterprise,Banking,Enterprise,"$1,000 - $5,000M"
Hunterdon Healthcare System,Total Accounts,7242,true,Hunterdon Healthcare System,7242,NJ,08852,NY,New York Cluster #1,New York,false,false,false,USA,Flemington,0,false,Hospitals / Health Care,4682,56225,1.621,0.74,West,Mid Market,Healthcare,Mid Market,$0 - $50M
"Hunter Industries, Ltd.",Total Accounts,7241,true,"Hunter Industries, Ltd.",7241,CA,92078,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Marcos,0,false,Manufacturing - Durables,45,71039,86.4,0.18,South,Mid Market,Manufacturing,Mid Market,$50 - $100M
Hunter Engineering Company,Total Accounts,7240,true,Hunter Engineering Company,7240,MO,63044,MO,Plains Cluster #1,Plains,false,false,false,USA,Bridgeton,0,false,Manufacturing - Durables,3049,125671,350,0.66,South,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
