,Parent,Code,Zips,Zips Item,SubTerritory,Patch,Territory Parent,Parent Reassign,ParentCode
37901,TN,37901,37901,37901,North,Cold,TN,TN,US-TN
37902,TN,37902,37902,37902,South,Cold,TN,TN,US-TN
37909,TN,37909,37909,37909,East,Cold,TN,TN,US-TN
37912,TN,37912,37912,37912,North,Cold,TN,TN,US-TN
37917,TN,37917,37917,37917,South,Cold,TN,TN,US-TN
37918,TN,37918,37918,37918,East,Cold,TN,TN,US-TN
37919,TN,37919,37919,37919,West,Cold,TN,TN,US-TN
37921,TN,37921,37921,37921,East,Cold,TN,TN,US-TN
37922,TN,37922,37922,37922,North,Cold,TN,TN,US-TN
37923,TN,37923,37923,37923,West,Cold,TN,TN,US-TN
37929,TN,37929,37929,37929,North,Cold,TN,TN,US-TN
37932,TN,37932,37932,37932,South,Cold,TN,TN,US-TN
37934,TN,37934,37934,37934,North,Cold,TN,TN,US-TN
37996,TN,37996,37996,37996,East,Cold,TN,TN,US-TN
38002,TN,38002,38002,38002,West,Cold,TN,TN,US-TN
38006,TN,38006,38006,38006,North,Cold,TN,TN,US-TN
38016,TN,38016,38016,38016,South,Cold,TN,TN,US-TN
38017,TN,38017,38017,38017,West,Cold,TN,TN,US-TN
38057,TN,38057,38057,38057,North,Cold,TN,TN,US-TN
38060,TN,38060,38060,38060,East,Cold,TN,TN,US-TN
38103,TN,38103,38103,38103,West,Cold,TN,TN,US-TN
38104,TN,38104,38104,38104,West,Cold,TN,TN,US-TN
38105,TN,38105,38105,38105,South,Cold,TN,TN,US-TN
38108,TN,38108,38108,38108,South,Cold,TN,TN,US-TN
38112,TN,38112,38112,38112,West,Cold,TN,TN,US-TN
38115,TN,38115,38115,38115,North,Cold,TN,TN,US-TN
38116,TN,38116,38116,38116,West,Cold,TN,TN,US-TN
38117,TN,38117,38117,38117,North,Cold,TN,TN,US-TN
38118,TN,38118,38118,38118,West,Cold,TN,TN,US-TN
38119,TN,38119,38119,38119,East,Cold,TN,TN,US-TN
38120,TN,38120,38120,38120,North,Warm,TN,TN,US-TN
38125,TN,38125,38125,38125,South,Cold,TN,TN,US-TN
38133,TN,38133,38133,38133,West,Cold,TN,TN,US-TN
38134,TN,38134,38134,38134,South,Cold,TN,TN,US-TN
38138,TN,38138,38138,38138,North,Cold,TN,TN,US-TN
38152,TN,38152,38152,38152,West,Cold,TN,TN,US-TN
38197,TN,38197,38197,38197,North,Cold,TN,TN,US-TN
38242,TN,38242,38242,38242,South,Cold,TN,TN,US-TN
38261,TN,38261,38261,38261,East,Cold,TN,TN,US-TN
38301,TN,38301,38301,38301,West,Cold,TN,TN,US-TN
38305,TN,38305,38305,38305,East,Cold,TN,TN,US-TN
38340,TN,38340,38340,38340,West,Cold,TN,TN,US-TN
38358,TN,38358,38358,38358,North,Cold,TN,TN,US-TN
38363,TN,38363,38363,38363,South,Cold,TN,TN,US-TN
38372,TN,38372,38372,38372,East,Cold,TN,TN,US-TN
38401,TN,38401,38401,38401,West,Cold,TN,TN,US-TN
38478,TN,38478,38478,38478,West,Cold,TN,TN,US-TN
38501,TN,38501,38501,38501,North,Cold,TN,TN,US-TN
38506,TN,38506,38506,38506,East,Cold,TN,TN,US-TN
38555,TN,38555,38555,38555,West,Cold,TN,TN,US-TN
38583,TN,38583,38583,38583,South,Cold,TN,TN,US-TN
38635,TN,38635,38635,38635,West,Cold,TN,TN,US-TN
38654,TN,38654,38654,38654,South,Cold,TN,TN,US-TN
42240,TN,42240,42240,42240,North,Cold,TN,TN,US-TN
72301,TN,72301,72301,72301,West,Cold,TN,TN,US-TN
TN,Rust Belt Cluster #1,US-TN,,,,,,,
Rust Belt Cluster #1,Rust Belt,,,,,,,,
43612,MI,43612,43612,43612,West,Cold,MI,MI,US-MI
43623,MI,43623,43623,43623,East,Cold,MI,MI,US-MI
48009,MI,48009,48009,48009,North,Cold,MI,MI,US-MI
48015,MI,48015,48015,48015,East,Cold,MI,MI,US-MI
48025,MI,48025,48025,48025,West,Cold,MI,MI,US-MI
48026,MI,48026,48026,48026,North,Cold,MI,MI,US-MI
48033,MI,48033,48033,48033,South,Warm,MI,MI,US-MI
48034,MI,48034,48034,48034,West,Warm,MI,MI,US-MI
48060,MI,48060,48060,48060,North,Cold,MI,MI,US-MI
48071,MI,48071,48071,48071,East,Cold,MI,MI,US-MI
48073,MI,48073,48073,48073,East,Cold,MI,MI,US-MI
48075,MI,48075,48075,48075,North,Cold,MI,MI,US-MI
48076,MI,48076,48076,48076,North,Cold,MI,MI,US-MI
48080,MI,48080,48080,48080,East,Cold,MI,MI,US-MI
48082,MI,48082,48082,48082,North,Cold,MI,MI,US-MI
48083,MI,48083,48083,48083,South,Cold,MI,MI,US-MI
48084,MI,48084,48084,48084,North,Cold,MI,MI,US-MI
48089,MI,48089,48089,48089,West,Cold,MI,MI,US-MI
48091,MI,48091,48091,48091,West,Cold,MI,MI,US-MI
48092,MI,48092,48092,48092,South,Cold,MI,MI,US-MI
48093,MI,48093,48093,48093,West,Cold,MI,MI,US-MI
48098,MI,48098,48098,48098,North,Warm,MI,MI,US-MI
48101,MI,48101,48101,48101,South,Cold,MI,MI,US-MI
48103,MI,48103,48103,48103,East,Cold,MI,MI,US-MI
48104,MI,48104,48104,48104,South,Cold,MI,MI,US-MI
48105,MI,48105,48105,48105,North,Cold,MI,MI,US-MI
48106,MI,48106,48106,48106,North,Cold,MI,MI,US-MI
48107,MI,48107,48107,48107,East,Cold,MI,MI,US-MI
48108,MI,48108,48108,48108,West,Warm,MI,MI,US-MI
48109,MI,48109,48109,48109,South,Cold,MI,MI,US-MI
48111,MI,48111,48111,48111,East,Cold,MI,MI,US-MI
48114,MI,48114,48114,48114,North,Cold,MI,MI,US-MI
48120,MI,48120,48120,48120,South,Cold,MI,MI,US-MI
48126,MI,48126,48126,48126,West,Warm,MI,MI,US-MI
48127,MI,48127,48127,48127,West,Cold,MI,MI,US-MI
48133,MI,48133,48133,48133,North,Cold,MI,MI,US-MI
48134,MI,48134,48134,48134,South,Cold,MI,MI,US-MI
48135,MI,48135,48135,48135,East,Cold,MI,MI,US-MI
48150,MI,48150,48150,48150,West,Warm,MI,MI,US-MI
48152,MI,48152,48152,48152,North,Warm,MI,MI,US-MI
48161,MI,48161,48161,48161,North,Cold,MI,MI,US-MI
48162,MI,48162,48162,48162,East,Cold,MI,MI,US-MI
48167,MI,48167,48167,48167,West,Cold,MI,MI,US-MI
48168,MI,48168,48168,48168,North,Cold,MI,MI,US-MI
48170,MI,48170,48170,48170,East,Warm,MI,MI,US-MI
48174,MI,48174,48174,48174,East,Cold,MI,MI,US-MI
48176,MI,48176,48176,48176,West,Cold,MI,MI,US-MI
48180,MI,48180,48180,48180,South,Cold,MI,MI,US-MI
48183,MI,48183,48183,48183,North,Cold,MI,MI,US-MI
48184,MI,48184,48184,48184,South,Cold,MI,MI,US-MI
48185,MI,48185,48185,48185,West,Cold,MI,MI,US-MI
48187,MI,48187,48187,48187,South,Cold,MI,MI,US-MI
48188,MI,48188,48188,48188,East,Cold,MI,MI,US-MI
48195,MI,48195,48195,48195,West,Cold,MI,MI,US-MI
48197,MI,48197,48197,48197,North,Cold,MI,MI,US-MI
48198,MI,48198,48198,48198,East,Cold,MI,MI,US-MI
48201,MI,48201,48201,48201,West,Cold,MI,MI,US-MI
48202,MI,48202,48202,48202,North,Cold,MI,MI,US-MI
48203,MI,48203,48203,48203,South,Cold,MI,MI,US-MI
48207,MI,48207,48207,48207,West,Cold,MI,MI,US-MI
48211,MI,48211,48211,48211,East,Cold,MI,MI,US-MI
48213,MI,48213,48213,48213,West,Cold,MI,MI,US-MI
48214,MI,48214,48214,48214,South,Cold,MI,MI,US-MI
48221,MI,48221,48221,48221,East,Cold,MI,MI,US-MI
48226,MI,48226,48226,48226,West,Warm,MI,MI,US-MI
48228,MI,48228,48228,48228,West,Cold,MI,MI,US-MI
48230,MI,48230,48230,48230,North,Cold,MI,MI,US-MI
48235,MI,48235,48235,48235,South,Cold,MI,MI,US-MI
48236,MI,48236,48236,48236,East,Cold,MI,MI,US-MI
48237,MI,48237,48237,48237,North,Cold,MI,MI,US-MI
48239,MI,48239,48239,48239,East,Cold,MI,MI,US-MI
48243,MI,48243,48243,48243,West,Cold,MI,MI,US-MI
48265,MI,48265,48265,48265,East,Cold,MI,MI,US-MI
48302,MI,48302,48302,48302,West,Cold,MI,MI,US-MI
48303,MI,48303,48303,48303,South,Cold,MI,MI,US-MI
48304,MI,48304,48304,48304,East,Cold,MI,MI,US-MI
48307,MI,48307,48307,48307,East,Cold,MI,MI,US-MI
48308,MI,48308,48308,48308,North,Cold,MI,MI,US-MI
48309,MI,48309,48309,48309,South,Cold,MI,MI,US-MI
48310,MI,48310,48310,48310,East,Cold,MI,MI,US-MI
48312,MI,48312,48312,48312,West,Cold,MI,MI,US-MI
48314,MI,48314,48314,48314,North,Cold,MI,MI,US-MI
48315,MI,48315,48315,48315,West,Cold,MI,MI,US-MI
48317,MI,48317,48317,48317,South,Cold,MI,MI,US-MI
48326,MI,48326,48326,48326,East,Hot,MI,MI,US-MI
48328,MI,48328,48328,48328,North,Cold,MI,MI,US-MI
48331,MI,48331,48331,48331,South,Cold,MI,MI,US-MI
48334,MI,48334,48334,48334,South,Cold,MI,MI,US-MI
48335,MI,48335,48335,48335,East,Cold,MI,MI,US-MI
48336,MI,48336,48336,48336,South,Cold,MI,MI,US-MI
48341,MI,48341,48341,48341,West,Cold,MI,MI,US-MI
48343,MI,48343,48343,48343,North,Cold,MI,MI,US-MI
48346,MI,48346,48346,48346,South,Cold,MI,MI,US-MI
48371,MI,48371,48371,48371,East,Cold,MI,MI,US-MI
48375,MI,48375,48375,48375,West,Cold,MI,MI,US-MI
48376,MI,48376,48376,48376,North,Cold,MI,MI,US-MI
48377,MI,48377,48377,48377,South,Cold,MI,MI,US-MI
48390,MI,48390,48390,48390,West,Cold,MI,MI,US-MI
48393,MI,48393,48393,48393,South,Cold,MI,MI,US-MI
48413,MI,48413,48413,48413,North,Cold,MI,MI,US-MI
48423,MI,48423,48423,48423,South,Cold,MI,MI,US-MI
48430,MI,48430,48430,48430,West,Cold,MI,MI,US-MI
48439,MI,48439,48439,48439,North,Cold,MI,MI,US-MI
48442,MI,48442,48442,48442,East,Cold,MI,MI,US-MI
48502,MI,48502,48502,48502,West,Cold,MI,MI,US-MI
48503,MI,48503,48503,48503,North,Cold,MI,MI,US-MI
48507,MI,48507,48507,48507,East,Cold,MI,MI,US-MI
48519,MI,48519,48519,48519,North,Cold,MI,MI,US-MI
48532,MI,48532,48532,48532,South,Cold,MI,MI,US-MI
48601,MI,48601,48601,48601,East,Cold,MI,MI,US-MI
48602,MI,48602,48602,48602,South,Cold,MI,MI,US-MI
48638,MI,48638,48638,48638,East,Cold,MI,MI,US-MI
48640,MI,48640,48640,48640,West,Cold,MI,MI,US-MI
48653,MI,48653,48653,48653,South,Cold,MI,MI,US-MI
48658,MI,48658,48658,48658,East,Cold,MI,MI,US-MI
48661,MI,48661,48661,48661,West,Cold,MI,MI,US-MI
48670,MI,48670,48670,48670,North,Cold,MI,MI,US-MI
48674,MI,48674,48674,48674,South,Cold,MI,MI,US-MI
48686,MI,48686,48686,48686,East,Cold,MI,MI,US-MI
48706,MI,48706,48706,48706,West,Cold,MI,MI,US-MI
48708,MI,48708,48708,48708,North,Cold,MI,MI,US-MI
48710,MI,48710,48710,48710,South,Cold,MI,MI,US-MI
48734,MI,48734,48734,48734,East,Cold,MI,MI,US-MI
48755,MI,48755,48755,48755,North,Cold,MI,MI,US-MI
48787,MI,48787,48787,48787,South,Cold,MI,MI,US-MI
48801,MI,48801,48801,48801,East,Cold,MI,MI,US-MI
48811,MI,48811,48811,48811,West,Cold,MI,MI,US-MI
48813,MI,48813,48813,48813,North,Cold,MI,MI,US-MI
48823,MI,48823,48823,48823,South,Cold,MI,MI,US-MI
48824,MI,48824,48824,48824,West,Cold,MI,MI,US-MI
48827,MI,48827,48827,48827,North,Cold,MI,MI,US-MI
48842,MI,48842,48842,48842,South,Cold,MI,MI,US-MI
48843,MI,48843,48843,48843,West,Cold,MI,MI,US-MI
48846,MI,48846,48846,48846,South,Cold,MI,MI,US-MI
48854,MI,48854,48854,48854,East,Cold,MI,MI,US-MI
48858,MI,48858,48858,48858,North,Cold,MI,MI,US-MI
48859,MI,48859,48859,48859,West,Cold,MI,MI,US-MI
48864,MI,48864,48864,48864,North,Cold,MI,MI,US-MI
48895,MI,48895,48895,48895,East,Cold,MI,MI,US-MI
48896,MI,48896,48896,48896,West,Cold,MI,MI,US-MI
48901,MI,48901,48901,48901,North,Cold,MI,MI,US-MI
48911,MI,48911,48911,48911,South,Cold,MI,MI,US-MI
48912,MI,48912,48912,48912,East,Cold,MI,MI,US-MI
48913,MI,48913,48913,48913,East,Cold,MI,MI,US-MI
48917,MI,48917,48917,48917,West,Cold,MI,MI,US-MI
48933,MI,48933,48933,48933,South,Cold,MI,MI,US-MI
48951,MI,48951,48951,48951,North,Cold,MI,MI,US-MI
49001,MI,49001,49001,49001,South,Cold,MI,MI,US-MI
49002,MI,49002,49002,49002,East,Cold,MI,MI,US-MI
49004,MI,49004,49004,49004,South,Cold,MI,MI,US-MI
49006,MI,49006,49006,49006,East,Cold,MI,MI,US-MI
49007,MI,49007,49007,49007,West,Cold,MI,MI,US-MI
49008,MI,49008,49008,49008,South,Cold,MI,MI,US-MI
49010,MI,49010,49010,49010,East,Cold,MI,MI,US-MI
49014,MI,49014,49014,49014,North,Cold,MI,MI,US-MI
49016,MI,49016,49016,49016,South,Cold,MI,MI,US-MI
49017,MI,49017,49017,49017,East,Cold,MI,MI,US-MI
49022,MI,49022,49022,49022,North,Cold,MI,MI,US-MI
49036,MI,49036,49036,49036,South,Cold,MI,MI,US-MI
49037,MI,49037,49037,49037,West,Cold,MI,MI,US-MI
49048,MI,49048,49048,49048,North,Cold,MI,MI,US-MI
49058,MI,49058,49058,49058,South,Cold,MI,MI,US-MI
49068,MI,49068,49068,49068,South,Cold,MI,MI,US-MI
49071,MI,49071,49071,49071,East,Cold,MI,MI,US-MI
49085,MI,49085,49085,49085,West,Cold,MI,MI,US-MI
49090,MI,49090,49090,49090,South,Cold,MI,MI,US-MI
49091,MI,49091,49091,49091,East,Cold,MI,MI,US-MI
49093,MI,49093,49093,49093,North,Cold,MI,MI,US-MI
49201,MI,49201,49201,49201,North,Cold,MI,MI,US-MI
49202,MI,49202,49202,49202,North,Cold,MI,MI,US-MI
49204,MI,49204,49204,49204,East,Cold,MI,MI,US-MI
49221,MI,49221,49221,49221,West,Cold,MI,MI,US-MI
49224,MI,49224,49224,49224,South,Cold,MI,MI,US-MI
49242,MI,49242,49242,49242,West,Cold,MI,MI,US-MI
49254,MI,49254,49254,49254,North,Cold,MI,MI,US-MI
49256,MI,49256,49256,49256,South,Cold,MI,MI,US-MI
49307,MI,49307,49307,49307,East,Cold,MI,MI,US-MI
49315,MI,49315,49315,49315,West,Cold,MI,MI,US-MI
49316,MI,49316,49316,49316,North,Cold,MI,MI,US-MI
49345,MI,49345,49345,49345,South,Cold,MI,MI,US-MI
49348,MI,49348,49348,49348,East,Cold,MI,MI,US-MI
49351,MI,49351,49351,49351,West,Cold,MI,MI,US-MI
49355,MI,49355,49355,49355,North,Cold,MI,MI,US-MI
49401,MI,49401,49401,49401,South,Cold,MI,MI,US-MI
49412,MI,49412,49412,49412,East,Cold,MI,MI,US-MI
49417,MI,49417,49417,49417,West,Cold,MI,MI,US-MI
49422,MI,49422,49422,49422,North,Cold,MI,MI,US-MI
49423,MI,49423,49423,49423,South,Cold,MI,MI,US-MI
49424,MI,49424,49424,49424,South,Cold,MI,MI,US-MI
49426,MI,49426,49426,49426,East,Cold,MI,MI,US-MI
49431,MI,49431,49431,49431,West,Cold,MI,MI,US-MI
49441,MI,49441,49441,49441,South,Cold,MI,MI,US-MI
49442,MI,49442,49442,49442,East,Cold,MI,MI,US-MI
49445,MI,49445,49445,49445,North,Cold,MI,MI,US-MI
49456,MI,49456,49456,49456,South,Cold,MI,MI,US-MI
49461,MI,49461,49461,49461,East,Cold,MI,MI,US-MI
49464,MI,49464,49464,49464,West,Cold,MI,MI,US-MI
49501,MI,49501,49501,49501,South,Cold,MI,MI,US-MI
49503,MI,49503,49503,49503,East,Cold,MI,MI,US-MI
49504,MI,49504,49504,49504,East,Cold,MI,MI,US-MI
49505,MI,49505,49505,49505,South,Cold,MI,MI,US-MI
49507,MI,49507,49507,49507,North,Cold,MI,MI,US-MI
49508,MI,49508,49508,49508,South,Cold,MI,MI,US-MI
49509,MI,49509,49509,49509,East,Cold,MI,MI,US-MI
49512,MI,49512,49512,49512,South,Warm,MI,MI,US-MI
49518,MI,49518,49518,49518,East,Cold,MI,MI,US-MI
49519,MI,49519,49519,49519,West,Cold,MI,MI,US-MI
49525,MI,49525,49525,49525,North,Cold,MI,MI,US-MI
49530,MI,49530,49530,49530,West,Cold,MI,MI,US-MI
49534,MI,49534,49534,49534,North,Cold,MI,MI,US-MI
49544,MI,49544,49544,49544,East,Cold,MI,MI,US-MI
49546,MI,49546,49546,49546,West,Cold,MI,MI,US-MI
49548,MI,49548,49548,49548,East,Cold,MI,MI,US-MI
49601,MI,49601,49601,49601,North,Cold,MI,MI,US-MI
49610,MI,49610,49610,49610,South,Cold,MI,MI,US-MI
49614,MI,49614,49614,49614,East,Cold,MI,MI,US-MI
49631,MI,49631,49631,49631,West,Cold,MI,MI,US-MI
49660,MI,49660,49660,49660,North,Cold,MI,MI,US-MI
49684,MI,49684,49684,49684,South,Cold,MI,MI,US-MI
49686,MI,49686,49686,49686,West,Cold,MI,MI,US-MI
49707,MI,49707,49707,49707,East,Cold,MI,MI,US-MI
49720,MI,49720,49720,49720,West,Cold,MI,MI,US-MI
49735,MI,49735,49735,49735,North,Cold,MI,MI,US-MI
49770,MI,49770,49770,49770,South,Cold,MI,MI,US-MI
49783,MI,49783,49783,49783,North,Cold,MI,MI,US-MI
49801,MI,49801,49801,49801,East,Cold,MI,MI,US-MI
49829,MI,49829,49829,49829,West,Cold,MI,MI,US-MI
49854,MI,49854,49854,49854,North,Cold,MI,MI,US-MI
49855,MI,49855,49855,49855,South,Cold,MI,MI,US-MI
49868,MI,49868,49868,49868,West,Cold,MI,MI,US-MI
49931,MI,49931,49931,49931,North,Cold,MI,MI,US-MI
49935,MI,49935,49935,49935,East,Cold,MI,MI,US-MI
49946,MI,49946,49946,49946,West,Cold,MI,MI,US-MI
MI,Rust Belt Cluster #2,US-MI,,,,,,,
73005,OK,73005,73005,73005,East,Cold,OK,OK,US-OK
73013,OK,73013,73013,73013,West,Cold,OK,OK,US-OK
73018,OK,73018,73018,73018,South,Cold,OK,OK,US-OK
73019,OK,73019,73019,73019,North,Cold,OK,OK,US-OK
73071,OK,73071,73071,73071,South,Cold,OK,OK,US-OK
73075,OK,73075,73075,73075,East,Cold,OK,OK,US-OK
73077,OK,73077,73077,73077,West,Cold,OK,OK,US-OK
73096,OK,73096,73096,73096,North,Cold,OK,OK,US-OK
73101,OK,73101,73101,73101,South,Cold,OK,OK,US-OK
73102,OK,73102,73102,73102,East,Cold,OK,OK,US-OK
73103,OK,73103,73103,73103,East,Cold,OK,OK,US-OK
73104,OK,73104,73104,73104,North,Cold,OK,OK,US-OK
73105,OK,73105,73105,73105,East,Cold,OK,OK,US-OK
73106,OK,73106,73106,73106,South,Cold,OK,OK,US-OK
73107,OK,73107,73107,73107,West,Cold,OK,OK,US-OK
73108,OK,73108,73108,73108,East,Cold,OK,OK,US-OK
73110,OK,73110,73110,73110,North,Cold,OK,OK,US-OK
73112,OK,73112,73112,73112,South,Cold,OK,OK,US-OK
73114,OK,73114,73114,73114,North,Cold,OK,OK,US-OK
73115,OK,73115,73115,73115,South,Cold,OK,OK,US-OK
73118,OK,73118,73118,73118,East,Cold,OK,OK,US-OK
73120,OK,73120,73120,73120,West,Cold,OK,OK,US-OK
73127,OK,73127,73127,73127,South,Cold,OK,OK,US-OK
73128,OK,73128,73128,73128,East,Cold,OK,OK,US-OK
73129,OK,73129,73129,73129,North,Cold,OK,OK,US-OK
73131,OK,73131,73131,73131,South,Cold,OK,OK,US-OK
73134,OK,73134,73134,73134,East,Cold,OK,OK,US-OK
73149,OK,73149,73149,73149,North,Cold,OK,OK,US-OK
73162,OK,73162,73162,73162,South,Cold,OK,OK,US-OK
73179,OK,73179,73179,73179,North,Cold,OK,OK,US-OK
73432,OK,73432,73432,73432,East,Cold,OK,OK,US-OK
73503,OK,73503,73503,73503,West,Cold,OK,OK,US-OK
73505,OK,73505,73505,73505,North,Cold,OK,OK,US-OK
73507,OK,73507,73507,73507,East,Cold,OK,OK,US-OK
73521,OK,73521,73521,73521,West,Cold,OK,OK,US-OK
73533,OK,73533,73533,73533,North,Cold,OK,OK,US-OK
73717,OK,73717,73717,73717,South,Cold,OK,OK,US-OK
73737,OK,73737,73737,73737,West,Cold,OK,OK,US-OK
73801,OK,73801,73801,73801,North,Cold,OK,OK,US-OK
74010,OK,74010,74010,74010,East,Cold,OK,OK,US-OK
74017,OK,74017,74017,74017,West,Cold,OK,OK,US-OK
74063,OK,74063,74063,74063,North,Cold,OK,OK,US-OK
74074,OK,74074,74074,74074,South,Cold,OK,OK,US-OK
74076,OK,74076,74076,74076,West,Cold,OK,OK,US-OK
74078,OK,74078,74078,74078,North,Cold,OK,OK,US-OK
74079,OK,74079,74079,74079,South,Cold,OK,OK,US-OK
74103,OK,74103,74103,74103,East,Cold,OK,OK,US-OK
74104,OK,74104,74104,74104,North,Cold,OK,OK,US-OK
74105,OK,74105,74105,74105,East,Cold,OK,OK,US-OK
74107,OK,74107,74107,74107,West,Cold,OK,OK,US-OK
74112,OK,74112,74112,74112,South,Cold,OK,OK,US-OK
74115,OK,74115,74115,74115,East,Cold,OK,OK,US-OK
74116,OK,74116,74116,74116,West,Cold,OK,OK,US-OK
74117,OK,74117,74117,74117,South,Cold,OK,OK,US-OK
74119,OK,74119,74119,74119,East,Cold,OK,OK,US-OK
74120,OK,74120,74120,74120,West,Cold,OK,OK,US-OK
74127,OK,74127,74127,74127,South,Cold,OK,OK,US-OK
74128,OK,74128,74128,74128,West,Cold,OK,OK,US-OK
74132,OK,74132,74132,74132,North,Cold,OK,OK,US-OK
74134,OK,74134,74134,74134,South,Cold,OK,OK,US-OK
74135,OK,74135,74135,74135,West,Cold,OK,OK,US-OK
74136,OK,74136,74136,74136,South,Warm,OK,OK,US-OK
74145,OK,74145,74145,74145,North,Cold,OK,OK,US-OK
74146,OK,74146,74146,74146,East,Cold,OK,OK,US-OK
74158,OK,74158,74158,74158,South,Cold,OK,OK,US-OK
74172,OK,74172,74172,74172,East,Cold,OK,OK,US-OK
74301,OK,74301,74301,74301,East,Cold,OK,OK,US-OK
74363,OK,74363,74363,74363,West,Cold,OK,OK,US-OK
74464,OK,74464,74464,74464,North,Cold,OK,OK,US-OK
74501,OK,74501,74501,74501,East,Cold,OK,OK,US-OK
74523,OK,74523,74523,74523,West,Cold,OK,OK,US-OK
74801,OK,74801,74801,74801,South,Cold,OK,OK,US-OK
74820,OK,74820,74820,74820,West,Cold,OK,OK,US-OK
74848,OK,74848,74848,74848,South,Cold,OK,OK,US-OK
74960,OK,74960,74960,74960,North,Cold,OK,OK,US-OK
OK,Rust Belt Cluster #2,US-OK,,,,,,,
Rust Belt Cluster #2,Rust Belt,,,,,,,,
Rust Belt,US Central,S07,,,,,,,
52301,IL,52301,52301,52301,East,Cold,IL,IL,US-IL
52353,IL,52353,52353,52353,South,Cold,IL,IL,US-IL
52361,IL,52361,52361,52361,East,Cold,IL,IL,US-IL
52641,IL,52641,52641,52641,West,Cold,IL,IL,US-IL
52722,IL,52722,52722,52722,South,Cold,IL,IL,US-IL
52761,IL,52761,52761,52761,West,Cold,IL,IL,US-IL
52773,IL,52773,52773,52773,East,Cold,IL,IL,US-IL
52801,IL,52801,52801,52801,West,Cold,IL,IL,US-IL
52802,IL,52802,52802,52802,North,Cold,IL,IL,US-IL
52803,IL,52803,52803,52803,South,Cold,IL,IL,US-IL
52806,IL,52806,52806,52806,East,Cold,IL,IL,US-IL
52808,IL,52808,52808,52808,West,Cold,IL,IL,US-IL
53141,IL,53141,53141,53141,South,Cold,IL,IL,US-IL
60004,IL,60004,60004,60004,East,Cold,IL,IL,US-IL
60005,IL,60005,60005,60005,West,Cold,IL,IL,US-IL
60007,IL,60007,60007,60007,West,Cold,IL,IL,US-IL
60008,IL,60008,60008,60008,West,Cold,IL,IL,US-IL
60010,IL,60010,60010,60010,South,Cold,IL,IL,US-IL
60012,IL,60012,60012,60012,North,Cold,IL,IL,US-IL
60013,IL,60013,60013,60013,South,Cold,IL,IL,US-IL
60014,IL,60014,60014,60014,West,Cold,IL,IL,US-IL
60015,IL,60015,60015,60015,East,Hot,IL,IL,US-IL
60016,IL,60016,60016,60016,South,Cold,IL,IL,US-IL
60018,IL,60018,60018,60018,South,Hot,IL,IL,US-IL
60025,IL,60025,60025,60025,North,Cold,IL,IL,US-IL
60026,IL,60026,60026,60026,West,Cold,IL,IL,US-IL
60031,IL,60031,60031,60031,South,Cold,IL,IL,US-IL
60035,IL,60035,60035,60035,East,Cold,IL,IL,US-IL
60044,IL,60044,60044,60044,North,Cold,IL,IL,US-IL
60045,IL,60045,60045,60045,West,Hot,IL,IL,US-IL
60047,IL,60047,60047,60047,East,Warm,IL,IL,US-IL
60048,IL,60048,60048,60048,North,Cold,IL,IL,US-IL
60050,IL,60050,60050,60050,East,Cold,IL,IL,US-IL
60053,IL,60053,60053,60053,South,Cold,IL,IL,US-IL
60056,IL,60056,60056,60056,North,Cold,IL,IL,US-IL
60060,IL,60060,60060,60060,East,Cold,IL,IL,US-IL
60061,IL,60061,60061,60061,East,Cold,IL,IL,US-IL
60062,IL,60062,60062,60062,North,Warm,IL,IL,US-IL
60064,IL,60064,60064,60064,West,Cold,IL,IL,US-IL
60065,IL,60065,60065,60065,East,Cold,IL,IL,US-IL
60067,IL,60067,60067,60067,West,Cold,IL,IL,US-IL
60068,IL,60068,60068,60068,East,Cold,IL,IL,US-IL
60069,IL,60069,60069,60069,North,Warm,IL,IL,US-IL
60074,IL,60074,60074,60074,South,Cold,IL,IL,US-IL
60077,IL,60077,60077,60077,East,Cold,IL,IL,US-IL
60081,IL,60081,60081,60081,South,Cold,IL,IL,US-IL
60084,IL,60084,60084,60084,West,Cold,IL,IL,US-IL
60085,IL,60085,60085,60085,North,Cold,IL,IL,US-IL
60089,IL,60089,60089,60089,South,Cold,IL,IL,US-IL
60090,IL,60090,60090,60090,West,Cold,IL,IL,US-IL
60093,IL,60093,60093,60093,East,Cold,IL,IL,US-IL
60098,IL,60098,60098,60098,South,Cold,IL,IL,US-IL
60101,IL,60101,60101,60101,East,Cold,IL,IL,US-IL
60103,IL,60103,60103,60103,North,Cold,IL,IL,US-IL
60108,IL,60108,60108,60108,South,Cold,IL,IL,US-IL
60110,IL,60110,60110,60110,East,Cold,IL,IL,US-IL
60115,IL,60115,60115,60115,West,Cold,IL,IL,US-IL
60120,IL,60120,60120,60120,East,Cold,IL,IL,US-IL
60123,IL,60123,60123,60123,South,Cold,IL,IL,US-IL
60126,IL,60126,60126,60126,South,Cold,IL,IL,US-IL
60130,IL,60130,60130,60130,North,Cold,IL,IL,US-IL
60131,IL,60131,60131,60131,South,Cold,IL,IL,US-IL
60134,IL,60134,60134,60134,North,Cold,IL,IL,US-IL
60137,IL,60137,60137,60137,South,Cold,IL,IL,US-IL
60143,IL,60143,60143,60143,East,Warm,IL,IL,US-IL
60147,IL,60147,60147,60147,West,Cold,IL,IL,US-IL
60148,IL,60148,60148,60148,North,Cold,IL,IL,US-IL
